我不是药神,https://movie.douban.com/subject/26752088/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2519070834.jpg,文牧野,剧情,2018-07-05,中国大陆,汉语普通话 ,9.0,1084522
复仇者联盟3：无限战争 Avengers: Infinity War,https://movie.douban.com/subject/24773958/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg,安东尼·罗素,动作,2018-05-11,美国,英语,8.1,546798
西虹市首富,https://movie.douban.com/subject/27605698/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg,闫非,喜剧,2018-07-27,中国大陆,汉语普通话,6.5,625537
毒液：致命守护者 Venom,https://movie.douban.com/subject/3168101/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg,鲁本·弗雷斯彻,动作,2018-11-09,美国 ,英语 ,7.2,511797
一出好戏,https://movie.douban.com/subject/26985127/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg,黄渤,剧情,2018-08-10,中国大陆,汉语普通话,7.1,603286
海王 Aquaman,https://movie.douban.com/subject/3878007/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg,温子仁,动作,2018-12-07,美国 ,英语 ,7.7,559627
无双 無雙,https://movie.douban.com/subject/26425063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,庄文强,剧情,2018-09-30,中国大陆 ,汉语普通话 ,8.1,567451
头号玩家 Ready Player One,https://movie.douban.com/subject/4920389/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,史蒂文·斯皮尔伯格,动作,2018-03-30,美国,英语 ,8.7,757817
碟中谍6：全面瓦解 Mission: Impossible - Fallout,https://movie.douban.com/subject/26336252/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529365085.jpg,克里斯托弗·麦奎里,动作,2018-08-31,美国 ,英语 ,8.1,366991
红海行动,https://movie.douban.com/subject/26861685/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg,林超贤,动作,2018-02-16,中国大陆 ,汉语普通话 ,8.3,647040
无名之辈,https://movie.douban.com/subject/27110296/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg,饶晓志,剧情,2018-11-16,中国大陆,汉语普通话 ,8.1,613151
动物世界,https://movie.douban.com/subject/26925317/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2525528688.jpg,韩延,剧情,2018-06-29,中国大陆,汉语普通话 ,7.2,345242
唐人街探案2,https://movie.douban.com/subject/26698897/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511355624.jpg,陈思诚,喜剧,2018-02-16,中国大陆,汉语普通话,6.7,564069
邪不压正,https://movie.douban.com/subject/26366496/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg,姜文,剧情,2018-07-13,中国大陆,汉语普通话 ,7.0,453261
小偷家族 万引き家族,https://movie.douban.com/subject/27622447/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,是枝裕和,剧情,2018-08-03,日本,日语,8.7,369390
超时空同居,https://movie.douban.com/subject/27133303/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520331478.jpg,苏伦,喜剧,2018-05-18,中国大陆,汉语普通话,6.9,352640
蚁人2：黄蜂女现身 Ant-Man and the Wasp,https://movie.douban.com/subject/26636712/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529389608.jpg,佩顿·里德,动作,2018-08-24,美国,英语,7.3,313468
